name,lat,lng,id,system
HaDavidka,31.784567,35.215194,node/890816085,Jerusalem Light Rail
HaMifletset Playground,31.761991,35.171602,node/12629201403,Jerusalem Light Rail
HaTurim,31.787918,35.206782,node/890816122,Jerusalem Light Rail
Hadassah Ein Kerem,31.764716,35.147660,node/12629197350,Jerusalem Light Rail
HeHaluts,31.782791,35.191693,node/1467060666,Jerusalem Light Rail
Hebrew Park,31.772226,35.196095,node/14110785637,Jerusalem Light Rail
Hel Ha'Avir,31.828952,35.238403,node/1464782839,Jerusalem Light Rail
Henrietta Szold – East,31.759825,35.167907,node/10952058061,Jerusalem Light Rail
Jaffa – Center,31.782857,35.218358,node/890816082,Jerusalem Light Rail
Kiryat HaYovel – West,31.766954,35.174436,node/12629175601,Jerusalem Light Rail
Kiryat Menahem,31.760021,35.164132,node/12629201406,Jerusalem Light Rail
Kiryat Moshe,31.786227,35.198164,node/890816167,Jerusalem Light Rail
Mahane Yehuda,31.786009,35.211417,node/890816109,Jerusalem Light Rail
Malha Sports Complex,31.751946,35.192620,node/14110791430,Jerusalem Light Rail
Manahat (Malha),31.749311,35.185319,node/14106312634,Jerusalem Light Rail
Mazal Kashat,31.837281,35.234155,node/12629110575,Jerusalem Light Rail
Medical School,31.764169,35.151241,node/12629197348,Jerusalem Light Rail
Moshe Dayan – North,31.833442,35.234685,node/12629134304,Jerusalem Light Rail
Mount Herzl,31.770848,35.181573,node/890816223,Jerusalem Light Rail
Neve Ya'akov – North,31.840979,35.240224,node/12629134302,Jerusalem Light Rail
Ora Junction,31.757025,35.159988,node/12629197346,Jerusalem Light Rail
Pat Jct,31.756338,35.198128,node/14110823308,Jerusalem Light Rail
Pisgat Ze'ev – Center,31.823750,35.237624,node/1464782840,Jerusalem Light Rail
Safra University Campus,31.777247,35.195324,node/14110785639,Jerusalem Light Rail
Sayeret Dukhifat,31.826101,35.240221,node/1464782855,Jerusalem Light Rail
Shim'on HaTsadik,31.793043,35.226334,node/891711983,Jerusalem Light Rail
Shivtei Israel,31.786537,35.227126,node/890816042,Jerusalem Light Rail
Shmaryahu Levin,31.768753,35.177670,node/12629146699,Jerusalem Light Rail
Shu'afat,31.814352,35.229871,node/1464783365,Jerusalem Light Rail
Yefe Nof,31.776952,35.185004,node/890816220,Jerusalem Light Rail
Yekutiel Adam,31.819323,35.239303,node/1464782885,Jerusalem Light Rail
Yitzhak Tabenkin,31.838114,35.237394,node/12629110577,Jerusalem Light Rail
Aba Hilel Station,32.082853,34.802364,way/382072592,Tel Aviv Light Rail
Aharonovich,32.092677,34.838133,way/397916864,Tel Aviv Light Rail
Allenby,32.062705,34.774880,node/11124763767,Tel Aviv Light Rail
Arlozoroff,32.081565,34.796508,node/11124786622,Tel Aviv Light Rail
Balfour,32.017459,34.744727,node/11125350025,Tel Aviv Light Rail
Beilinson,32.091457,34.866750,node/11124762412,Tel Aviv Light Rail
Ben Gurion,32.090939,34.823398,node/11133775515,Tel Aviv Light Rail
Bialik,32.086774,34.812049,node/11124798243,Tel Aviv Light Rail
Binyamin,32.016413,34.748336,node/11125350024,Tel Aviv Light Rail
Bloomfield Stadium,32.050258,34.758952,node/11132682253,Tel Aviv Light Rail
Carlebach,32.065588,34.783100,way/365341966,Tel Aviv Light Rail
Dankner,32.090954,34.872384,node/11124725529,Tel Aviv Light Rail
Ehrlich,32.046069,34.758365,node/11125454976,Tel Aviv Light Rail
Elifelet,32.058341,34.762770,node/11133645848,Tel Aviv Light Rail
Em HaMoshavot Bridge,32.098879,34.846268,node/11125457547,Tel Aviv Light Rail
HaAtzma'ut,32.028165,34.748973,node/11125454962,Tel Aviv Light Rail
HaBesht,32.038722,34.755837,node/11125454970,Tel Aviv Light Rail
HaKomemiyut,32.002259,34.746752,node/11125350010,Tel Aviv Light Rail
HeAmal,32.005874,34.748987,node/11125350011,Tel Aviv Light Rail
Isakov,32.042144,34.757077,node/11125454973,Tel Aviv Light Rail
Jabotinsky,32.021706,34.743220,node/11133645857,Tel Aviv Light Rail
Kaf Tet BeNovember,32.010832,34.751488,node/11125350016,Tel Aviv Light Rail
Krol,32.091905,34.877512,node/11124762409,Tel Aviv Light Rail
Mahrozet,32.033575,34.751653,node/11125454967,Tel Aviv Light Rail
Petah Tikva CBS,32.094649,34.886393,node/11124762408,Tel Aviv Light Rail
Pinsker,32.093735,34.882124,node/11124762405,Tel Aviv Light Rail
Rothschild,32.026728,34.744466,node/11133645854,Tel Aviv Light Rail
Shaham,32.091941,34.861398,node/11124725530,Tel Aviv Light Rail
Shalma,32.054498,34.759521,node/11132682256,Tel Aviv Light Rail
Shaul HaMelech,32.076918,34.792155,node/11124793538,Tel Aviv Light Rail
Shenkar,32.092663,34.853305,node/11124725534,Tel Aviv Light Rail
Yehudit,32.070364,34.788606,node/11124781758,Tel Aviv Light Rail
Yoseftal,32.015390,34.752151,node/11125350021,Tel Aviv Light Rail
